metric,current_period_level,group_level,group_minus_current
all_export_rows,60,60,0
real_game_rows,50,50,0
practice_rows,10,10,0
total_proposer_payoff_real_rounds,1385.0,1400.0,15.0
total_responder_payoff_real_rounds,885.0,900.0,15.0
average_proposer_payoff_real_rounds,27.7,28.0,0.3
average_responder_payoff_real_rounds,17.7,18.0,0.3
total_points_sent_real_rounds,500.0,500.0,0.0
total_points_available_real_rounds,1770.0,1800.0,30.0
total_points_returned_real_rounds,885.0,900.0,15.0
average_realized_multiplier_real_rounds,3.54,3.6,0.06
high_multiplier_rows_real_rounds,9,10,1
low_multiplier_rows_real_rounds,41,40,-1
random_multiplier_condition_rows_real_rounds,20,22,2
fixed_multiplier_condition_rows_real_rounds,30,28,-2
picture_condition_rows_real_rounds,20,20,0
